GP ACCOUNT,NS ACCOUNT
3-10-15-871-114,871100
3-10-15-872-100,872100
3-10-15-872-112,872100
3-10-15-872-114,872100
3-10-15-873-100,873100
3-10-15-873-112,873100
3-10-15-873-114,873100
3-10-15-874-100,874100
3-10-15-888-100,861100
3-10-15-890-100,890000
3-10-15-890-101,890101
3-10-16-131-100,131105
3-10-16-611-100,611100
3-10-16-822-116,822000
3-10-16-823-100,823000
3-10-16-830-100,830000
3-10-16-830-116,830000
3-10-16-832-116,832000
3-10-16-833-116,833000
3-10-16-842-100,842000
3-10-16-842-116,842000
3-10-16-843-100,843000
3-10-16-843-116,843000
3-10-16-871-116,871100
3-10-16-872-116,872100
3-10-16-873-116,873100
3-10-17-131-100,131105
3-10-17-131-112,131105
3-10-17-131-114,131105
3-10-17-131-116,131105
3-10-17-299-100,299100
3-10-17-490-100,490100
3-10-17-754-100,754000
3-10-17-755-111,755100
3-10-17-756-111,756100
3-10-17-757-100,757100
3-10-17-814-100,814100
3-10-17-815-100,815100
3-10-17-817-100,817000
3-10-17-821-101,821101
3-10-17-822-100,822000
3-10-17-823-100,823000
3-10-17-830-100,830000
3-10-17-831-100,831000
3-10-17-832-112,832000
3-10-17-832-116,832000
3-10-17-833-100,833000
3-10-17-833-112,833000
3-10-17-833-116,833000
3-10-17-842-100,842000
3-10-17-844-100,844000
3-10-17-845-100,845000
3-10-17-860-100,860000
3-10-17-865-100,866000
3-10-17-865-101,867000
3-10-17-866-100,868000
3-10-17-867-100,869000
3-10-17-871-100,871100
3-10-17-871-112,871100
3-10-17-871-114,871100
3-10-17-871-116,871100
3-10-17-872-100,872100
3-10-17-872-112,872100
3-10-17-872-114,872100
3-10-17-872-116,872100
3-10-17-873-100,873100
3-10-17-873-112,873100
3-10-17-873-114,873100
3-10-17-873-116,873100
3-10-17-890-117,890000
3-10-17-891-100,891100
3-10-18-131-100,131105
3-10-18-131-112,131105
3-10-18-131-114,131105
3-10-18-171-100,171100
3-10-18-172-100,172100
3-10-18-173-100,173100
3-10-18-174-100,174100
3-10-18-181-100,181100
3-10-18-182-100,182100
3-10-18-183-100,183100
3-10-18-184-100,184100
3-10-18-250-101,201100
3-10-18-754-100,754000
3-10-18-755-100,755100
3-10-18-756-100,756100
3-10-18-770-100,770100
3-10-18-810-100,810000
3-10-18-811-100,811100
3-10-18-813-100,813000
3-10-18-814-100,814100
3-10-18-815-100,815100
3-10-18-816-100,815100
3-10-18-821-101,821101
3-10-18-822-100,822000
3-10-18-823-100,823000
3-10-18-831-100,831000
3-10-18-833-100,833000
3-10-18-833-112,833000
3-10-18-842-100,842000
3-10-18-845-100,845000
3-10-18-850-100,850100
3-10-18-851-100,851100
3-10-18-863-100,865000
3-10-18-864-100,865000
3-10-18-865-101,867000
3-10-18-866-100,868000
3-10-18-867-100,869000
3-10-18-871-100,871100
3-10-18-871-112,871100
3-10-18-871-114,871100
3-10-18-871-116,871100
3-10-18-872-100,872100
3-10-18-872-112,872100
3-10-18-872-114,872100
3-10-18-872-116,872100
3-10-18-873-100,873100
3-10-18-873-112,873100
3-10-18-873-114,873100
3-10-18-873-116,873100
3-10-18-874-100,874100
3-10-18-890-100,890000
3-10-19-131-100,131105
3-10-19-131-200,131105
3-10-19-754-100,754000
3-10-19-755-100,755100
3-10-19-755-200,755100
3-10-19-814-100,814100
3-10-19-814-102,814102
3-10-19-814-103,814103
3-10-19-814-114,814114
3-10-19-815-100,815100
